,,keep,#,Company,Symbol,Weight,Price,Chg,% Chg,Permno,,,,,,,
,,,253,PACCAR Inc,PCAR,0.08023,92.6,0.22,-0.24%,60506,PCAR,,,,,,
,,,254,Equifax Inc.,EFX,0.080204,261.81,-1.38,(-0.52%),52476,EFX,,,,,,
,,,255,EPAM Systems Inc.,EPAM,0.07949,568.17,8.77,-1.57%,13210,EPAM,,,,,,
,,,256,Nucor Corporation,NUE,0.079369,114.95,4.11,-3.71%,34817,NUE,,,,,,
,,,257,Devon Energy Corporation,DVN,0.07843,49.92,0.12,-0.24%,87137,75390,DVN,,,,,
,,,258,Dollar Tree Inc.,DLTR,0.07726,137.33,0.22,-0.16%,81481,DLTR,,,,,,
,,,259,Equity Residential,EQR,0.077191,90.98,0.43,-0.47%,79547,EQR,,,,,,
,,,260,Occidental Petroleum Corporation,OXY,0.077003,34.71,0.01,-0.03%,34833,OXY,,,,,,
,,,261,Stanley Black & Decker Inc.,SWK,0.076876,193,3.47,-1.83%,43350,SWK,,,,,,
,,,262,American Water Works Company Inc.,AWK,0.076432,170.02,1.71,-1.02%,92614,23544,AWK,,,,,
,,,263,Weyerhaeuser Company,WY,0.076384,41.05,0.32,-0.79%,39917,WY,,,,,,
,,,264,Old Dominion Freight Line Inc.,ODFL,0.076345,324,-1.47,(-0.45%),77037,ODFL,,,,,,
,,,265,WEC Energy Group Inc,WEC,0.075217,95.7,0.38,-0.40%,23536,26219,45903,WEC,,,,
,,,266,Arista Networks Inc.,ANET,0.074862,133.25,0.07,-0.05%,81599,83946,14714,ANET,,,,
,,,267,Eversource Energy,ES,0.074473,87.49,0.86,-0.99%,44206,92389,18251,ES,,,,
,,,268,Lennar Corporation Class A,LEN,0.074009,107.94,0.21,-0.19%,89731,52708,42411,LEN,,,,
,,,269,West Pharmaceutical Services Inc.,WST,0.073929,401.27,1.78,-0.45%,62498,51641,WST,,,,,
,,,270,Copart Inc.,CPRT,0.073808,142,3.98,-2.88%,80320,21769,86800,CPRT,,,,
,,,271,Alexandria Real Estate Equities Inc.,ARE,0.073723,209.97,1.35,-0.65%,84767,52046,ARE,,,,,
,,,272,Consolidated Edison Inc.,ED,0.073635,83.19,0.12,-0.14%,11404,ED,,,,,,
,,,273,Ball Corporation,BLL,0.073406,90.83,0.98,-1.09%,21610,57568,BLL,,,,,
,,,274,Corning Inc,GLW,0.073141,38.17,0.13,-0.34%,22293,GLW,,,,,,
,,,275,Willis Towers Watson Public Limited Company,WTW,0.073034,233.77,-0.19,(-0.08%),89244,85630,WTW,,,,,
,,,276,Zebra Technologies Corporation Class A,ZBRA,0.071904,538.5,-0.07,(-0.01%),76795,ZBRA,,,,,,
,,,277,Laboratory Corporation of America Holdings,LH,0.070587,284.21,-7.73,(-2.65%),54607,12062,LH,,,,,
,,,278,Hershey Company,HSY,0.070585,195.84,1.81,-0.93%,16600,HSY,,,,,,
,,,279,Extra Space Storage Inc.,EXR,0.070334,211.71,1.65,-0.79%,90305,55028,EXR,,,,,
,,,280,Albemarle Corporation,ALB,0.070274,242.06,1.89,-0.78%,80191,53321,ALB,,,,,
,,,281,ONEOK Inc.,OKE,0.069659,62.5,0.02,-0.03%,25232,OKE,,,,,,
,,,282,Republic Services Inc.,RSG,0.069424,131.82,-0.28,(-0.21%),86228,RSG,,,,,,
,,,283,CDW Corp.,CDW,0.068903,197.4,-3.02,(-1.51%),30285,13949,CDW,,,,,
,,,284,Northern Trust Corporation,NTRS,0.068597,132.04,0.43,-0.32%,58246,NTRS,,,,,,
,,,285,Cerner Corporation,CERN,0.068187,92.2,-0.06,(-0.07%),22411,10909,CERN,,,,,
,,,286,Southwest Airlines Co.,LUV,0.067828,45.22,-0.61,(-1.33%),58683,LUV,,,,,,
,,,287,Tyson Foods Inc. Class A,TSN,0.067101,90.57,-0.42,(-0.46%),77730,TSN,,,,,,
,,,288,Zimmer Biomet Holdings Inc.,ZBH,0.067056,125.58,-2.8,(-2.18%),89070,ZBH,,,,,,
,,,289,Synchrony Financial,SYF,0.066855,49.03,0.27,-0.55%,14776,SYF,,,,,,
,,,290,Expedia Group Inc.,EXPE,0.066763,181.25,-1.22,(-0.67%),90808,87388,EXPE,,,,,
,,,291,Kraft Heinz Company,KHC,0.066706,37.46,-0.13,(-0.35%),15408,KHC,,,,,,
,,,292,Vulcan Materials Company,VMC,0.066531,202.88,2.44,-1.22%,15202,VMC,,,,,,
,,,293,Delta Air Lines Inc.,DAL,0.065995,40.63,-0.6,(-1.46%),26112,91926,DAL,,,,,
,,,294,Fortive Corp.,FTV,0.065821,73.75,0.33,-0.45%,16087,FTV,,,,,,
,,,295,Teradyne Inc.,TER,0.065572,162.9,2.36,-1.47%,51369,TER,,,,,,
,,,296,Martin Marietta Materials Inc.,MLM,0.065471,422.57,3.24,-0.77%,80204,MLM,,,,,,
,,,297,Dover Corporation,DOV,0.065082,181.29,0.56,-0.31%,25953,DOV,,,,,,
,,,298,Tractor Supply Company,TSCO,0.064575,232.46,6.66,-2.95%,58472,80286,TSCO,,,,,
,,,299,Skyworks Solutions Inc.,SWKS,0.064482,156.89,0.8,-0.51%,45911,SWKS,,,,,,
,,,300,LyondellBasell Industries NV,LYB,0.064454,99.89,0.56,-0.56%,12346,12345,LYB,,,,,
,,,301,KeyCorp,KEY,0.063195,26.4,-0.03,(-0.11%),64995,45321,KEY,,,,,
,,,302,Hartford Financial Services Group Inc.,HIG,0.062836,72.32,-0.08,(-0.11%),32723,82775,HIG,,,,,
,,,303,Huntington Bancshares Incorporated,HBAN,0.062795,17.09,0.08,-0.47%,42906,HBAN,,,,,,
,,,304,Church & Dwight Co. Inc.,CHD,0.062516,102.6,0.78,-0.77%,40715,23393,CHD,,,,,
,,,305,Gartner Inc.,IT,0.062234,301.69,4.01,-1.35%,87030,12570,33064,79698,67985,IT,,
,,,306,Hess Corporation,HES,0.062008,91.8,1.76,-1.95%,28484,57170,HES,,,,,
,,,307,Mid-America Apartment Communities Inc.,MAA,0.061566,216.73,3.15,-1.47%,80183,MAA,,,,,,
,,,308,Edison International,EIX,0.061125,64.43,0.07,-0.11%,15720,EIX,,,,,,
,,,309,Ingersoll Rand Inc.,IR,0.060793,59.98,0.01,-0.02%,16692,12431,IR,,,,,
,,,310,Halliburton Company,HAL,0.060671,27.44,0.2,-0.73%,23819,HAL,,,,,,
,,,311,United Rentals Inc.,URI,0.060454,331.95,-2.04,(-0.61%),58130,85663,URI,,,,,
,,,312,McCormick & Company Incorporated,MKC,0.059342,96.3,1.09,-1.14%,47837,52090,89155,MKC,,,,
,,,313,Baker Hughes Company Class A,BKR,0.059061,26.77,-0.19,(-0.70%),29989,52484,75034,BKR,,,,
,,,314,Regions Financial Corporation,RF,0.058881,24.78,0.12,-0.49%,75502,35044,44281,RF,,,,
,,,315,Best Buy Co. Inc.,BBY,0.058499,102.28,-1.81,(-1.74%),85914,BBY,,,,,,
,,,316,V.F. Corporation,VFC,0.058163,71.81,-0.04,(-0.06%),43553,VFC,,,,,,
,,,317,Citizens Financial Group Inc.,CFG,0.058116,55.21,0.67,-1.23%,75050,14889,10989,CFG,,,,
,,,318,Etsy Inc.,ETSY,0.058085,178.3,-4.51,(-2.47%),15291,ETSY,,,,,,
,,,319,STERIS Plc,STE,0.057713,241.68,6.93,-2.95%,81781,81782,77649,36855,STE,,,
,,,320,PPL Corporation,PPL,0.057628,29.96,0.01,-0.03%,22517,35051,PPL,,,,,
,,,321,DTE Energy Company,DTE,0.057575,119.21,0.43,-0.36%,11674,DTE,,,,,,
,,,322,VeriSign Inc.,VRSN,0.057493,238.25,2.01,-0.85%,85753,VRSN,,,,,,
,,,323,M&T Bank Corporation,MTB,0.057382,179.53,1.33,-0.75%,35554,42307,51610,MTB,,,,
,,,324,Duke Realty Corporation,DRE,0.056781,60.2,-0.07,(-0.12%),68902,62535,75341,25339,DRE,,,
,,,325,PerkinElmer Inc.,PKI,0.056455,182.81,4.35,-2.44%,42200,PKI,,,,,,
,,,326,FirstEnergy Corp.,FE,0.056284,41.32,-0.04,(-0.10%),66915,23026,FE,,,,,
,,,327,Essex Property Trust Inc.,ESS,0.056276,349.11,3.06,-0.88%,80681,ESS,,,,,,
,,,328,Seagate Technology Holdings PLC,STX,0.056187,113.1,1.38,-1.24%,75422,14605,89641,STX,,,,
,,,329,Ameren Corporation,AEE,0.056053,87.71,0.74,-0.85%,24985,39116,AEE,,,,,
,,,330,Nasdaq Inc.,NDAQ,0.055995,193.01,0.45,-0.23%,90601,NDAQ,,,,,,
,,,331,Hewlett Packard Enterprise Co.,HPE,0.055684,17.15,0.11,-0.65%,15707,HPE,,,,,,
,,,332,W.W. Grainger Inc.,GWW,0.055351,509.44,3.46,-0.68%,52695,GWW,,,,,,
,,,333,Clorox Company,CLX,0.055161,182.01,2.44,-1.36%,46578,CLX,,,,,,
,,,334,Signature Bank,SBNY,0.055051,366,5.29,-1.47%,90090,SBNY,,,,,,
,,,335,Entergy Corporation,ETR,0.054645,109.14,0.4,-0.37%,24010,62850,ETR,,,,,
,,,336,NetApp Inc.,NTAP,0.053296,94.7,-0.32,(-0.34%),82598,NTAP,,,,,,
,,,337,Expeditors International of Washington Inc.,EXPD,0.053086,125.24,0.3,-0.24%,87717,EXPD,,,,,,
,,,338,ViacomCBS Inc. Class B,VIAC,0.052984,35,0.04,-0.11%,90546,76226,VIAC,,,,,
,,,339,Diamondback Energy Inc.,FANG,0.052944,124.65,0.29,-0.23%,13641,FANG,,,,,,
,,,340,Waters Corporation,WAT,0.052865,343.82,-0.6,(-0.17%),37890,82651,WAT,,,,,
,,,341,Ulta Beauty Inc,ULTA,0.052649,383,-1.44,(-0.37%),92322,ULTA,,,,,,
,,,342,Xylem Inc.,XYL,0.05237,116.18,-0.01,(-0.01%),13035,XYL,,,,,,
,,,343,Ventas Inc.,VTR,0.052157,51.83,-0.31,(-0.59%),75819,37794,VTR,,,,,
,,,344,Cooper Companies Inc.,COO,0.052014,420.7,-1.59,(-0.38%),65541,52388,COO,,,,,
,,,345,Tyler Technologies Inc.,TYL,0.051655,504,-1,(-0.20%),76185,44759,75816,TYL,,,,
,,,346,Generac Holdings Inc.,GNRC,0.051028,318.25,-5.04,(-1.56%),93246,GNRC,,,,,,
,,,347,AmerisourceBergen Corporation,ABC,0.050711,135.71,-0.74,(-0.54%),81540,10233,25101,67969,ABC,,,
,,,348,Western Digital Corporation,WDC,0.050612,66.07,0.05,-0.08%,66384,33187,52142,WDC,,,,
,,,349,Raymond James Financial Inc.,RJF,0.050489,109.57,0.72,-0.66%,69649,RJF,,,,,,
,,,350,Pool Corporation,POOL,0.050414,512.81,10.75,-2.14%,11640,82515,POOL,,,,,
,,,351,FLEETCOR Technologies Inc.,FLT,0.050285,243.66,0.08,-0.03%,12449,25048,47159,89986,FLT,,,
,,,352,Catalent Inc,CTLT,0.050218,115.38,-2.45,(-2.08%),14763,CTLT,,,,,,
,,,353,Teledyne Technologies Incorporated,TDY,0.050096,428,-0.71,(-0.17%),51369,87445,43123,TDY,,,,
,,,354,Trimble Inc.,TRMB,0.050021,79.15,-0.34,(-0.43%),76230,TRMB,,,,,,
,,,355,Enphase Energy Inc.,ENPH,0.050009,149.71,1.2,-0.81%,13323,ENPH,,,,,,
,,,356,Garmin Ltd.,GRMN,0.04964,132,0.22,-0.17%,88837,79495,GRMN,,,,,
,,,357,Genuine Parts Company,GPC,0.049225,138.89,1.48,-1.08%,32109,46674,GPC,,,,,
,,,358,Broadridge Financial Solutions Inc.,BR,0.048793,170.44,2.5,-1.49%,91849,46308,75333,BR,,,,
,,,359,CarMax Inc.,KMX,0.048546,119.8,0.65,-0.55%,89508,84577,KMX,,,,,
,,,360,Healthpeak Properties Inc.,PEAK,0.048421,36,0.08,-0.22%,67598,85029,77833,PEAK,,,,
,,,361,Monolithic Power Systems Inc.,MPWR,0.048396,448.91,-3.6,(-0.80%),86077,90455,MPWR,,,,,
,,,362,Quest Diagnostics Incorporated,DGX,0.048246,148.65,-9.23,(-5.85%),84373,DGX,,,,,,
,,,363,Principal Financial Group Inc.,PFG,0.04795,76.52,-0.3,(-0.39%),89195,78041,21389,PFG,,,,
,,,364,Celanese Corporation,CE,0.047551,172.74,1.58,-0.92%,50040,90520,26332,86450,11170,63124,39909,CE
,,,365,International Paper Company,IP,0.047426,48.19,-0.33,(-0.68%),21573,IP,,,,,,
,,,366,Darden Restaurants Inc.,DRI,0.047291,142.34,-2.76,(-1.90%),42526,81655,51924,DRI,,,,
,,,367,Caesars Entertainment Inc,CZR,0.047275,87.88,-2.1,(-2.33%),86447,14882,13267,CZR,,,,
,,,368,NVR Inc.,NVR,0.047029,"5,566.99",-0.5,(-0.01%),79785,69569,NVR,,,,,
,,,369,Amcor PLC,AMCR,0.046696,12.11,-0.01,(-0.04%),78844,18724,12299,75967,AMCR,,,
,,,370,CMS Energy Corporation,CMS,0.046416,64.12,0.25,-0.39%,23229,CMS,,,,,,
,,,371,Viatris Inc.,VTRS,0.04633,15.18,-0.14,(-0.91%),20057,VTRS,,,,,,
,,X,372,Akamai Technologies Inc.,AKAM,0.046208,115.72,2.3,-2.02%,87299,AKAM,,,,,,
,,,373,Hologic Inc.,HOLX,0.046017,72.14,-0.19,(-0.26%),76095,HOLX,,,,,,
,,,374,Royal Caribbean Group,RCL,0.045137,82.25,0.52,-0.64%,79145,RCL,,,,,,
,,,375,MGM Resorts International,MGM,0.0451,44.7,-0.25,(-0.56%),69729,13143,11891,85620,61794,MGM,,
,,,376,Charles River Laboratories International Inc.,CRL,0.045011,359.86,1.91,-0.53%,88281,30373,81143,87090,52003,79441,CRL,
,,X,377,Domino's Pizza Inc.,DPZ,0.044824,486.89,0.47,-0.10%,90248,DPZ,,,,,,
,,,378,Cincinnati Financial Corporation,CINF,0.044797,118.88,-0.6,(-0.50%),23473,CINF,,,,,,
,,,379,Paycom Software Inc.,PAYC,0.044127,358.07,-9.13,(-2.49%),14579,61640,PAYC,,,,,
,,,380,Carnival Corporation,CCL,0.04391,22.3,0.32,-1.46%,75154,CCL,,,,,,
,,,381,Avery Dennison Corporation,AVY,0.043905,212.84,1.15,-0.54%,44601,AVY,,,,,,
,,,382,Boston Properties Inc.,BXP,0.043879,123.52,0.05,-0.04%,85058,BXP,,,,,,
,,,383,Jacobs Engineering Group Inc.,J,0.043713,132.31,-1.84,(-1.37%),46181,52329,11850,J,,,,
,,,384,Westinghouse Air Brake Technologies Corporation,WAB,0.043686,91.87,-0.53,(-0.57%),37890,82107,81677,37903,42382,43908,WAB,
,,,385,CenterPoint Energy Inc.,CNP,0.043188,27.42,0.02,-0.07%,31042,21792,61532,CNP,,,,
,,,386,Coterra Energy Inc.,CTRA,0.04318,22.54,1.29,-6.07%,87595,81245,26981,18224,CTRA,,,
,,,387,Take-Two Interactive Software Inc.,TTWO,0.04308,155.62,7.2,-4.85%,84761,TTWO,,,,,,
,,,388,IDEX Corporation,IEX,0.043001,265.91,39.75,-17.58%,75591,22584,IEX,,,,,
,,,389,Textron Inc.,TXT,0.042887,76.88,0.38,-0.50%,23579,TXT,,,,,,
,,,390,UDR Inc.,UDR,0.042422,58.91,0.67,-1.15%,59300,UDR,,,,,,
,,X,391,Kellogg Company,K,0.042313,66.38,-0.2,(-0.30%),26825,K,,,,,,
,,,392,Qorvo Inc.,QRVO,0.042309,152.84,1.12,-0.74%,85035,QRVO,,,,,,
,,,393,FactSet Research Systems Inc.,FDS,0.042101,447.77,3.26,-0.73%,18550,83597,FDS,,,,,
,,,394,Bio-Techne Corporation,TECH,0.042078,428.37,-3.94,(-0.91%),74924,75694,TECH,,,,,
,,,395,J.B. Hunt Transport Services Inc.,JBHT,0.041865,202.8,3.75,-1.88%,42877,JBHT,,,,,,
,,,396,Masco Corporation,MAS,0.041858,68.32,0.84,-1.24%,34032,MAS,,,,,,
,,,397,Omnicom Group Inc,OMC,0.041573,77,-0.52,(-0.67%),30681,51799,OMC,,,,,
,,,398,Eastman Chemical Company,EMN,0.041219,122.89,1.49,-1.23%,80080,EMN,,,,,,
,,,399,Conagra Brands Inc.,CAG,0.040823,33.54,-0.44,(-1.29%),40678,56274,CAG,,,,,
,,,400,Brown & Brown Inc.,BRO,0.039966,69.43,1.08,-1.58%,63467,33312,BRO,,,,,
,,,401,LKQ Corporation,LKQ,0.039103,58,0.38,-0.66%,89866,LKQ,,,,,,
,,,402,NortonLifeLock Inc.,NLOK,0.039095,26.25,-0.64,(-2.38%),75607,NLOK,,,,,,
,,,403,Bath & Body Works Inc.,BBWI,0.038959,59,0.17,-0.29%,,BBWI,,,,,,
,,,404,AES Corporation,AES,0.038905,23.43,0.09,-0.39%,76712,AES,,,,,,
,,,405,Teleflex Incorporated,TFX,0.038637,334.66,4.46,-1.35%,44329,TFX,,,,,,
,,,406,J.M. Smucker Company,SJM,0.038527,140.83,-1.28,(-0.90%),42585,77058,SJM,,,,,
,,,407,Quanta Services Inc.,PWR,0.038387,110.14,0.16,-0.15%,85792,62631,35545,PWR,,,,
,,,408,Live Nation Entertainment Inc.,LYV,0.038242,114,-2,(-1.72%),91041,LYV,,,,,,
,,,409,Cardinal Health Inc.,CAH,0.038229,51.68,-1.03,(-1.95%),51107,11033,21371,CAH,,,,
,,,410,Kimco Realty Corporation,KIM,0.037987,25.12,0.08,-0.32%,77129,KIM,,,,,,
,,,411,Evergy Inc.,EVRG,0.037986,66.67,0.31,-0.47%,24053,77871,EVRG,,,,,
,,,412,Advance Auto Parts Inc.,AAP,0.037928,237.53,5.52,-2.38%,28863,80105,89217,AAP,,,,
,,,413,United Airlines Holdings Inc.,UAL,0.037689,46.55,-0.35,(-0.75%),91103,19596,UAL,,,,,
,,,414,Mosaic Company,MOS,0.037461,42.05,1.69,-4.19%,46287,64645,90386,40037,MOS,,,
,,,415,Alliant Energy Corp,LNT,0.037425,60.03,0.23,-0.38%,50286,58819,LNT,,,,,
,,,416,CF Industries Holdings Inc.,CF,0.037283,67.9,-1.26,(-1.82%),79354,56354,86239,11248,10725,90829,CF,
,,,417,Marathon Oil Corporation,MRO,0.036782,18.69,0.03,-0.16%,13047,15069,MRO,,,,,
,,,418,Interpublic Group of Companies Inc.,IPG,0.03678,37.75,0.4,-1.07%,53065,IPG,,,,,,
,,,419,F5 Inc.,FFIV,0.036463,239.5,-3.16,(-1.30%),86964,FFIV,,,,,,
,,,420,Bio-Rad Laboratories Inc. Class A,BIO,0.036336,669.7,-5.28,(-0.78%),61516,61508,52839,BIO,,,,
,,,421,ABIOMED Inc.,ABMD,0.036239,315.43,-3.67,(-1.15%),12571,75107,ABMD,,,,,
,,,422,MarketAxess Holdings Inc.,MKTX,0.036138,369.97,-10.57,(-2.78%),90454,MKTX,,,,,,
,,,423,Whirlpool Corporation,WHR,0.035632,225.26,-2.04,(-0.90%),25419,WHR,,,,,,
,,,424,PulteGroup Inc.,PHM,0.035622,55.52,0.62,-1.13%,54148,PHM,,,,,,
,,,425,C.H. Robinson Worldwide Inc.,CHRW,0.035559,107.35,-0.63,(-0.58%),85459,CHRW,,,,,,
,,,426,Fortune Brands Home & Security Inc.,FBHS,0.035482,104.8,1.9,-1.85%,12981,FBHS,,,,,,
,,,427,FMC Corporation,FMC,0.035224,111.24,1.85,-1.69%,19166,FMC,,,,,,
,,,428,Hormel Foods Corporation,HRL,0.035168,49.03,-0.66,(-1.33%),32870,HRL,,,,,,
,,,429,Incyte Corporation,INCY,0.035038,73.62,-0.82,(-1.10%),79906,INCY,,,,,,
,,,430,SolarEdge Technologies Inc.,SEDG,0.034508,261,-0.09,(-0.03%),15272,SEDG,,,,,,
,,,431,Atmos Energy Corporation,ATO,0.034238,104.2,-0.44,(-0.42%),45102,32986,67133,ATO,,,,
,,,432,Iron Mountain Inc.,IRM,0.0337,46.76,0.38,-0.82%,83143,IRM,,,,,,
,,,433,Cboe Global Markets Inc,CBOE,0.0336,124.58,-1.36,(-1.08%),93429,CBOE,,,,,,
,,,434,Howmet Aerospace Inc.,HWM,0.032754,33.91,-0.01,(-0.03%),85610,24643,HWM,,,,,
,,,435,Comerica Incorporated,CMA,0.032603,98.36,1.01,-1.04%,25081,70527,51385,CMA,,,,
,,X,436,Hasbro Inc.,HAS,0.032593,102.71,1.46,-1.44%,52978,HAS,,,,,,
,,,437,Packaging Corporation of America,PKG,0.032292,134,-1.91,(-1.41%),87541,28011,PKG,,,,,
,,,438,Las Vegas Sands Corp.,LVS,0.032219,38.9,0.05,-0.13%,50294,39415,90505,LVS,,,,
,,,439,Host Hotels & Resorts Inc.,HST,0.032146,17.83,-0.26,(-1.41%),32838,41444,46703,HST,,,,
,,,440,Lincoln National Corporation,LNC,0.032086,72.73,0.07,-0.10%,49015,LNC,,,,,,
,,,441,Leidos Holdings Inc.,LDOS,0.031936,89.5,-1.31,(-1.44%),91547,LDOS,,,,,,
,,,442,PTC Inc.,PTC,0.031588,120.02,0.75,-0.63%,61146,20917,75912,PTC,,,,
,,,443,Jack Henry & Associates Inc.,JKHY,0.031547,171.91,2.17,-1.28%,88664,JKHY,,,,,,
,,,444,Fox Corporation Class A,FOXA,0.031505,39.38,0.43,-1.10%,18420,90441,FOXA,,,,,
,,,445,Loews Corporation,L,0.031218,61.18,0.05,-0.08%,58835,14429,89130,26710,81301,L,,
,,,446,Ceridian HCM Holding Inc.,CDAY,0.031213,89.97,-2.53,(-2.74%),17700,CDAY,,,,,,
,,,447,Robert Half International Inc.,RHI,0.030849,111.07,0.92,-0.84%,68478,52230,RHI,,,,,
,,,448,Lumen Technologies Inc.,LUMN,0.030793,13.3,-0.04,(-0.30%),60599,LUMN,,,,,,
,,,449,DENTSPLY SIRONA Inc.,XRAY,0.030792,54.79,-1.54,(-2.73%),11600,24695,XRAY,,,,,
,,,450,American Airlines Group Inc.,AAL,0.030769,18.51,-0.51,(-2.68%),51940,21020,63845,AAL,,,,
,,,451,Brown-Forman Corporation Class B,BF.B,0.030615,67.03,0.02,-0.03%,,BF.B,,,,,,
,,,452,WestRock Company,WRK,0.030525,46.15,0.21,-0.46%,21186,WRK,,,,,,
,,,453,APA Corp.,APA,0.030433,32.67,0.67,-2.09%,39490,APA,,,,,,
,,,454,Citrix Systems Inc.,CTXS,0.03043,96.82,-1.31,(-1.33%),82686,CTXS,,,,,,
,,,455,W. R. Berkley Corporation,WRB,0.029825,85.51,0.45,-0.53%,17743,WRB,,,,,,
,,,456,BorgWarner Inc.,BWA,0.029252,47.84,-0.74,(-1.52%),79545,BWA,,,,,,
,,,457,Snap-on Incorporated,SNA,0.029236,218.86,2.41,-1.11%,60206,43131,SNA,,,,,
,,,458,Regency Centers Corporation,REG,0.029226,76.44,0.05,-0.07%,79782,REG,,,,,,
,,,459,Pentair plc,PNR,0.029019,69.6,-0.38,(-0.54%),62965,13586,62034,PNR,,,,
,,X,460,Juniper Networks Inc.,JNPR,0.028761,34.88,-0.48,(-1.36%),86979,JNPR,,,,,,
,,,461,Allegion PLC,ALLE,0.02864,127.58,-0.03,(-0.02%),14297,82469,ALLE,,,,,
,,,462,Everest Re Group Ltd.,RE,0.028456,283.02,-2.62,(-0.92%),41486,82303,RE,,,,,
,,,463,Zions Bancorporation N.A.,ZION,0.028448,70.21,-0.01,(-0.01%),84129,ZION,,,,,,
,,,464,Henry Schein Inc.,HSIC,0.028144,77.79,-2.75,(-3.41%),82581,HSIC,,,,,,
,,,465,A. O. Smith Corporation,AOS,0.027884,83.98,0.28,-0.33%,75016,65402,AOS,,,,,
,,,466,NiSource Inc,NI,0.0271,27.95,0.14,-0.50%,38762,NI,,,,,,
,,,467,Tapestry Inc.,TPR,0.026745,38.55,0.34,-0.89%,82242,88661,TPR,,,,,
,,,468,NRG Energy Inc.,NRG,0.025195,41.33,0.45,-1.10%,11170,88232,90071,79772,21514,84110,NRG,
,,,469,Lamb Weston Holdings Inc.,LW,0.025167,68.83,-0.5,(-0.72%),16431,LW,,,,,,
,,,470,Universal Health Services Inc. Class B,UHS,0.02482,129.11,-1.71,(-1.31%),79637,UHS,,,,,,
,,,471,Franklin Resources Inc.,BEN,0.024746,35.12,-0.84,(-2.34%),29655,37584,BEN,,,,,
,,,472,Sealed Air Corporation,SEE,0.024745,66.47,0.46,-0.70%,61049,85926,36329,SEE,,,,
,,,473,Mohawk Industries Inc.,MHK,0.024668,176.74,0.3,-0.17%,77496,MHK,,,,,,
,,,474,Globe Life Inc.,GL,0.023903,104.25,2.15,-2.11%,51836,84777,62308,75882,GL,,,
,,,475,Federal Realty Investment Trust,FRT,0.023503,134.48,0.38,-0.28%,58413,FRT,,,,,,
,,,476,Molson Coors Beverage Company Class B,TAP,0.023358,48.58,-0.67,(-1.36%),89495,83341,48987,89346,59248,90562,TAP,
,,,477,Assurant Inc.,AIZ,0.023169,157.08,-0.39,(-0.25%),12320,90038,AIZ,,,,,
,,X,478,Campbell Soup Company,CPB,0.023035,45.21,0.14,-0.31%,25320,CPB,,,,,,
,,,479,Wynn Resorts Limited,WYNN,0.022612,85.8,0.5,-0.59%,89533,WYNN,,,,,,
,,,480,News Corporation Class A,NWSA,0.02212,22.61,0.16,-0.71%,90441,13963,NWSA,,,,,
,,,481,DISH Network Corporation Class A,DISH,0.022059,36.57,1.19,-3.36%,81696,DISH,,,,,,
,,,482,People's United Financial Inc.,PBCT,0.022034,20.7,0.15,-0.73%,12073,57510,PBCT,,,,,
,,,483,Newell Brands Inc,NWL,0.021965,23.48,0.41,-1.78%,37938,60986,NWL,,,,,
,,,484,Invesco Ltd.,IVZ,0.021198,24.71,-0.11,(-0.44%),81910,19583,IVZ,,,,,
,,,485,Organon & Co.,OGN,0.020867,32.3,-0.45,(-1.37%),,OGN,,,,,,
,,,486,DXC Technology Co.,DXC,0.020839,33.48,0.41,-1.24%,40125,15915,61305,DXC,,,,
,,,487,Discovery Inc. Class C,DISCK,0.020425,27.95,0.09,-0.32%,92778,DISCK,,,,,,
,,X,488,Norwegian Cruise Line Holdings Ltd.,NCLH,0.020171,22.15,0.15,-0.68%,13760,NCLH,,,,,,
,,,489,Penn National Gaming Inc.,PENN,0.019986,47.18,-0.83,(-1.73%),80563,PENN,,,,,,
,,,490,Huntington Ingalls Industries Inc.,HII,0.019981,197.16,-1.73,(-0.87%),88605,77219,68486,12623,46412,HII,,
,,,491,Pinnacle West Capital Corporation,PNW,0.019945,70.04,-0.25,(-0.36%),27991,PNW,,,,,,
,,,492,DaVita Inc.,DVA,0.019253,113.9,-0.54,(-0.47%),82307,DVA,,,,,,
,,X,493,Nielsen Holdings Plc,NLSN,0.018831,20.58,-0.31,(-1.48%),12542,NLSN,,,,,,
,,,494,Rollins Inc.,ROL,0.018758,33.87,0.27,-0.80%,36003,ROL,,,,,,
,,,495,PVH Corp.,PVH,0.018613,103,-0.9,(-0.87%),13936,PVH,,,,,,
,,,496,Vornado Realty Trust,VNO,0.018007,45.1,-0.43,(-0.94%),28388,VNO,,,,,,
,,,497,Alaska Air Group Inc.,ALK,0.017523,55.02,-0.97,(-1.73%),28804,ALK,,,,,,
,,,498,IPG Photonics Corporation,IPGP,0.015172,165.74,-1.96,(-1.17%),91668,IPGP,,,,,,
,,,499,Ralph Lauren Corporation Class A,RL,0.014255,115.05,-2.23,(-1.90%),81778,85072,20829,RL,,,,
,,,500,Fox Corporation Class B,FOX,0.0133,36.33,0.47,-1.31%,17278,86401,18421,27860,90442,76806,FOX,
,,,501,Discovery Inc. Class A,DISCA,0.011728,28.9,0.22,-0.77%,90805,DISCA,,,,,,
,,,502,Gap Inc.,GPS,0.009287,17.75,-0.13,(-0.73%),59010,17910,GPS,,,,,
,,,503,Under Armour Inc. Class A,UAA,0.009269,19.47,0,0.00%,90979,UAA,,,,,,
,,,504,Under Armour Inc. Class C,UA,0.008265,16.7,0.04,-0.24%,15980,82782,17830,90979,UA,,,
